id,missing_count,hallucinated_count,contradictions_count,ref_precision,ref_recall,ref_f1,bleu,rouge_l_f
ex_000069,0,2,0,1.0,1.0,1.0,0.9909335099126606,0.9964028776978417
ex_000070,2,2,0,1.0,1.0,1.0,1.0,1.0
ex_000071,0,0,0,1.0,1.0,1.0,0.9884118727773189,0.9954128440366973
ex_000072,0,0,0,1.0,1.0,1.0,0.9897008886139643,0.9959183673469387
ex_000073,2,3,7,1.0,0.9166666666666666,0.9565217391304348,0.9693210032499554,0.9878419452887538
ex_000074,0,1,0,0.0,0.0,0.0,0.9788563349526188,0.9916317991631799
ex_000075,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000076,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000077,0,2,0,1.0,1.0,1.0,0.9760162360806629,0.990521327014218
ex_000078,1,1,0,1.0,1.0,1.0,0.9893950545322081,0.9957983193277311
ex_000079,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000080,2,0,0,0.0,0.0,0.0,0.9852711397709147,0.9941860465116279
ex_000081,0,0,0,1.0,1.0,1.0,0.9734708030037149,0.9895287958115183
ex_000082,0,0,0,1.0,1.0,1.0,0.973042595716981,0.9893238434163701
ex_000083,1,1,0,0.75,0.75,0.75,0.9236086014137653,0.9699570815450643
ex_000084,0,0,0,0.0,0.0,0.0,0.9756660193257467,0.9903846153846154
ex_000085,0,0,0,1.0,1.0,1.0,0.9892119959406719,0.9957264957264957
ex_000086,0,1,2,1.0,1.0,1.0,0.9910949896822128,0.9964664310954063
ex_000087,1,0,0,0.0,0.0,0.0,0.9896153224618992,0.9958847736625515
ex_000088,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000089,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000090,0,0,0,0.0,0.0,0.0,0.9565097840832679,0.9828326180257511
ex_000091,1,1,0,1.0,0.5,0.6666666666666666,0.9885183195908568,0.9954545454545455
ex_000092,2,2,0,1.0,1.0,1.0,0.9633593507224876,0.9856115107913669
ex_000093,1,4,0,1.0,1.0,1.0,1.0,1.0
ex_000094,0,3,0,1.0,1.0,1.0,1.0,1.0
ex_000095,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000096,1,2,2,1.0,1.0,1.0,0.958379103886293,0.9836065573770492
ex_000097,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000098,0,2,0,1.0,1.0,1.0,0.9611804385836764,0.9846938775510204
ex_000099,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000100,2,2,0,1.0,1.0,1.0,0.9894842736191451,0.9958333333333333
ex_000101,0,1,0,1.0,1.0,1.0,0.9772184319311534,0.990990990990991
ex_000102,1,0,0,1.0,1.0,1.0,0.9912813312708183,0.9965397923875432
ex_000103,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000104,2,3,6,1.0,1.0,1.0,0.9251326398145695,0.9705882352941176
ex_000105,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000106,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000107,1,0,0,0.0,0.0,0.0,0.9744209712697074,0.98989898989899
ex_000108,0,0,0,1.0,1.0,1.0,0.9922778027462396,0.9969325153374233
ex_000109,0,2,0,1.0,1.0,1.0,0.9874835464564958,0.995049504950495
ex_000110,0,2,0,1.0,1.0,1.0,0.9805052443647445,0.9922779922779923
ex_000111,0,3,0,1.0,1.0,1.0,1.0,1.0
ex_000112,1,1,3,1.0,1.0,1.0,0.9660933020921969,0.9866666666666668
ex_000113,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000114,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000115,0,4,0,0.6,0.6,0.6,0.9431548065699031,0.9776536312849162
ex_000116,1,3,0,1.0,1.0,1.0,0.9907318314806254,0.9963235294117647
ex_000117,0,2,0,1.0,1.0,1.0,0.9916034506450185,0.9966666666666667
ex_000118,0,0,0,0.0,0.0,0.0,0.9458073786895692,0.9786324786324786
ex_000119,0,0,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9906275896386185,0.9962825278810409
ex_000120,4,3,0,1.0,1.0,1.0,1.0,1.0
ex_000121,0,2,0,1.0,1.0,1.0,0.9664507479951533,0.984375
ex_000122,0,0,5,1.0,1.0,1.0,0.9858950322343002,0.9943977591036415
ex_000123,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000124,1,3,0,1.0,1.0,1.0,1.0,1.0
ex_000125,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000126,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000127,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000128,2,5,0,1.0,1.0,1.0,1.0,1.0
ex_000129,0,1,0,0.0,0.0,0.0,0.9887760724645923,0.9955555555555555
ex_000130,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000131,0,0,0,1.0,1.0,1.0,0.9864671772524127,0.9946524064171123
ex_000132,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000133,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000134,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000135,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000136,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000137,0,0,0,0.0,0.0,0.0,0.9867540076865134,0.9947643979057592
ex_000138,1,0,0,1.0,1.0,1.0,0.9788563349526188,0.9916317991631799
ex_000139,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000140,4,4,0,1.0,1.0,1.0,1.0,1.0
ex_000141,0,2,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9862437671704528,0.9945652173913043
ex_000142,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000143,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000144,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000145,0,1,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.978764609552155,0.9916666666666667
ex_000146,0,0,0,1.0,1.0,1.0,0.9225368908974177,0.9691119691119691
ex_000147,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000148,0,0,0,0.0,0.0,0.0,0.9455509891047572,0.9773584905660377
ex_000149,0,1,0,0.6,0.6,0.6,0.9783995776439258,0.9914529914529915
ex_000150,1,3,0,1.0,1.0,1.0,0.9905923192937802,0.996268656716418
ex_000151,2,2,0,1.0,1.0,1.0,1.0,1.0
ex_000152,0,0,0,0.0,0.0,0.0,0.972447308367282,0.9891304347826086
ex_000153,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000154,1,2,0,1.0,1.0,1.0,0.9685153022585103,0.9875518672199171
ex_000155,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000156,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000157,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000158,0,0,0,1.0,1.0,1.0,0.9892583505502627,0.9957446808510638
ex_000159,0,4,0,1.0,1.0,1.0,1.0,1.0
ex_000160,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000161,0,2,2,1.0,1.0,1.0,1.0,1.0
ex_000162,0,4,0,1.0,1.0,1.0,0.9888262404605161,0.995575221238938
ex_000163,1,2,0,1.0,0.75,0.8571428571428571,0.9872926730486749,0.9949748743718593
ex_000164,1,2,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9706690723479313,0.9884393063583815
ex_000165,0,1,0,1.0,1.0,1.0,0.9878485915987741,0.9951923076923077
ex_000166,0,1,0,1.0,1.0,1.0,0.9886228284909595,0.9954954954954955
ex_000167,0,0,0,0.0,0.0,0.0,0.989165239499248,0.9957081545064378
ex_000168,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000169,1,1,0,1.0,1.0,1.0,0.974551180970227,0.9899497487437185
ex_000170,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000171,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000172,0,0,0,0.0,0.0,0.0,0.972884221453043,0.9888888888888889
ex_000173,0,0,0,0.0,0.0,0.0,0.9885708129572255,0.995475113122172
ex_000174,4,1,0,1.0,1.0,1.0,0.9734708030037149,0.9895287958115183
ex_000175,0,0,0,1.0,1.0,1.0,0.9890225062428615,0.9956521739130435
ex_000176,1,1,0,1.0,1.0,1.0,0.961231876494459,0.9846743295019157
ex_000177,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000178,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000179,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000180,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000181,1,0,0,0.0,0.0,0.0,1.0,1.0
ex_000182,1,0,0,1.0,1.0,1.0,0.9799582042769212,0.9920634920634921
ex_000183,0,0,0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.988875961953624,0.9955947136563876
ex_000184,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000185,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000186,0,0,0,0.0,0.0,0.0,0.9818499072600079,0.9928057553956835
ex_000187,0,2,0,1.0,1.0,1.0,0.9721402119251268,0.989010989010989
ex_000188,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000189,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000190,0,0,0,1.0,0.9090909090909091,0.9523809523809523,0.9809509089724414,0.9924528301886792
ex_000191,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000192,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000193,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000194,0,0,0,1.0,1.0,1.0,0.9849616839182503,0.9940298507462687
ex_000195,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000196,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000197,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000198,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000199,1,0,0,1.0,1.0,1.0,0.9486981905175523,0.9797979797979798
ex_000200,0,1,0,1.0,1.0,1.0,0.9558515683688766,0.9781659388646288
ex_000201,1,2,3,1.0,1.0,1.0,0.9895283225469969,0.995850622406639
ex_000202,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000203,0,0,0,1.0,1.0,1.0,0.9914600338987654,0.9966101694915255
ex_000204,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000205,0,1,0,1.0,1.0,1.0,0.9860906831507594,0.9945054945054945
ex_000206,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000207,3,0,0,1.0,1.0,1.0,1.0,1.0
ex_000208,2,0,0,0.0,0.0,0.0,1.0,1.0
ex_000209,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000210,0,2,0,1.0,1.0,1.0,0.9903749935783951,0.9961832061068703
ex_000211,0,0,0,1.0,1.0,1.0,0.9773217726427009,0.9910313901345291
ex_000212,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000213,0,0,0,1.0,1.0,1.0,0.9799582042769212,0.9920634920634921
ex_000214,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000215,2,0,0,1.0,1.0,1.0,1.0,1.0
ex_000216,0,2,0,1.0,1.0,1.0,0.9879073721675564,0.9952153110047847
ex_000217,0,1,0,1.0,1.0,1.0,0.9874205623599036,0.9950248756218906
ex_000218,0,0,0,0.0,0.0,0.0,0.9795207772485897,0.991869918699187
ex_000219,0,0,0,1.0,1.0,1.0,0.9886228284909595,0.9954954954954955
ex_000220,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000221,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000222,1,4,0,1.0,1.0,1.0,1.0,1.0
ex_000223,0,0,0,1.0,1.0,1.0,0.9657858384088054,0.9864864864864865
ex_000224,0,0,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9872277482004734,0.9949494949494949
ex_000225,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000226,0,0,3,1.0,1.0,1.0,1.0,1.0
ex_000227,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000228,2,1,3,1.0,1.0,1.0,1.0,1.0
ex_000229,0,1,2,1.0,1.0,1.0,1.0,1.0
ex_000230,0,0,0,0.0,0.0,0.0,0.9622884223334998,0.9847560975609756
ex_000231,4,1,0,1.0,1.0,1.0,0.9892119959406719,0.9957264957264957
ex_000232,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000233,1,0,0,1.0,1.0,1.0,0.9271111394312153,0.9713114754098361
ex_000234,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000235,2,2,0,1.0,1.0,1.0,1.0,1.0
ex_000236,0,0,0,1.0,1.0,1.0,0.9681136611141449,0.9873949579831933
ex_000237,0,1,0,1.0,1.0,1.0,0.9881929457145813,0.9953271028037384
ex_000238,0,1,5,1.0,1.0,1.0,1.0,1.0
ex_000239,2,1,0,1.0,1.0,1.0,1.0,1.0
ex_000240,1,2,0,1.0,1.0,1.0,0.9922297991370281,0.9969135802469136
ex_000241,1,5,2,1.0,1.0,1.0,1.0,1.0
ex_000242,0,3,2,1.0,1.0,1.0,0.9896153224618992,0.9958847736625515
ex_000243,0,0,0,0.0,0.0,0.0,0.9798775391898517,0.99203187250996
ex_000244,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000245,0,0,0,1.0,1.0,1.0,0.995359503571957,0.9953917050691244
ex_000246,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000247,0,1,0,1.0,1.0,1.0,0.9838440150503148,0.9935897435897436
ex_000248,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000249,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000250,2,1,0,1.0,1.0,1.0,1.0,1.0
ex_000251,1,2,6,1.0,1.0,1.0,0.9894842736191451,0.9958333333333333
ex_000252,0,0,0,1.0,1.0,1.0,0.9915751539631129,0.9966555183946488
ex_000253,0,3,0,1.0,1.0,1.0,0.9913116326190065,0.996551724137931
ex_000254,0,0,0,1.0,1.0,1.0,0.9884118727773189,0.9954128440366973
ex_000255,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000256,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000257,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000258,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000259,0,0,0,1.0,1.0,1.0,0.9888262404605161,0.995575221238938
ex_000260,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000261,1,0,0,1.0,1.0,1.0,0.9868929108287489,0.9948186528497409
ex_000262,0,1,0,1.0,1.0,1.0,0.986012856208516,0.994475138121547
ex_000263,1,3,0,1.0,1.0,1.0,1.0,1.0
ex_000264,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000265,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000266,1,3,0,1.0,1.0,1.0,0.9886743726872161,0.9955156950672646
ex_000267,0,0,0,1.0,1.0,1.0,0.9848240492564876,0.9940119760479041
ex_000268,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000269,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000270,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000271,0,1,0,1.0,1.0,1.0,0.9892119959406719,0.9957264957264957
ex_000272,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000273,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000274,0,1,0,1.0,1.0,1.0,0.9663990928636568,0.9867256637168141
ex_000275,0,1,0,1.0,1.0,1.0,0.9770088987549989,0.990909090909091
ex_000276,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000277,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000278,0,1,0,1.0,1.0,1.0,0.9716140147642724,0.9887640449438202
ex_000279,0,0,2,1.0,1.0,1.0,0.9713416569299967,0.9887005649717514
ex_000280,0,1,0,1.0,1.0,1.0,0.9895283225469969,0.995850622406639
ex_000281,1,0,0,1.0,1.0,1.0,0.9885183195908568,0.9954545454545455
ex_000282,0,2,4,1.0,1.0,1.0,0.9351701942058028,0.9744680851063829
ex_000283,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000284,0,0,0,0.0,0.0,0.0,0.989908759189579,0.996
ex_000285,0,1,2,1.0,1.0,1.0,0.9896582825338524,0.9959016393442623
ex_000286,2,0,0,1.0,1.0,1.0,0.9913116326190065,0.996551724137931
ex_000287,0,1,0,1.0,1.0,1.0,0.9767240737388985,0.9907692307692307
ex_000288,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000289,3,1,0,1.0,1.0,1.0,1.0,1.0
ex_000290,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000291,2,1,0,1.0,1.0,1.0,0.9868929108287489,0.9948186528497409
ex_000292,0,2,0,0.75,0.75,0.75,0.9873569411297848,0.995
ex_000293,0,1,0,1.0,1.0,1.0,0.9905209761565795,0.9962406015037594
ex_000294,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000295,1,1,0,1.0,1.0,1.0,1.0,1.0
ex_000296,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000297,0,0,0,1.0,1.0,1.0,0.9871621564653424,0.9949238578680203
ex_000298,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000299,3,1,0,1.0,1.0,1.0,1.0,1.0
ex_000300,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000301,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000302,0,0,0,1.0,1.0,1.0,0.9876687702431277,0.9951219512195122
ex_000303,0,2,0,1.0,1.0,1.0,1.0,1.0
ex_000304,1,5,0,1.0,1.0,1.0,1.0,1.0
ex_000305,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000306,1,1,2,1.0,1.0,1.0,0.976130745257551,0.9905660377358491
ex_000307,1,3,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9889252428787272,0.9956140350877193
ex_000308,0,1,0,1.0,1.0,1.0,0.9883579057291517,0.9953917050691244
ex_000309,1,4,3,1.0,1.0,1.0,1.0,1.0
ex_000310,0,0,0,0.0,0.0,0.0,0.9863190523811637,0.9945945945945946
ex_000311,1,3,0,1.0,1.0,1.0,0.9838431679164993,0.9936305732484076
ex_000312,1,0,0,1.0,1.0,1.0,0.9766872700913048,0.9907834101382489
ex_000313,1,1,0,1.0,1.0,1.0,0.9762441660584775,0.9906103286384976
ex_000314,0,3,0,1.0,1.0,1.0,1.0,1.0
ex_000315,0,1,0,1.0,1.0,1.0,0.9893950545322081,0.9957983193277311
ex_000316,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000317,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000318,0,1,0,1.0,1.0,1.0,0.9866121287187083,0.9947089947089947
ex_000319,0,1,0,1.0,1.0,1.0,0.9890225062428615,0.9956521739130435
ex_000320,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000321,1,6,0,1.0,1.0,1.0,0.9467315185593376,0.9789915966386554
ex_000322,2,3,5,1.0,1.0,1.0,0.981094969634343,0.9925093632958801
ex_000323,0,0,0,0.0,0.0,0.0,0.9904119091631277,0.9961977186311787
ex_000324,0,2,0,1.0,1.0,1.0,0.9884118727773189,0.9954128440366973
ex_000325,2,0,0,1.0,1.0,1.0,1.0,1.0
ex_000326,0,2,0,1.0,0.6666666666666666,0.8,0.9875459029433391,0.9950738916256159
ex_000327,1,2,0,1.0,1.0,1.0,0.9879655867558675,0.9952380952380953
ex_000328,0,1,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.989908759189579,0.996
ex_000329,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000330,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000331,0,0,0,1.0,1.0,1.0,0.9897431450598241,0.9959349593495935
ex_000332,0,0,0,0.0,0.0,0.0,0.9843489635453336,0.9938271604938271
ex_000333,2,0,0,1.0,1.0,1.0,0.9674209885880904,0.9871244635193133
ex_000334,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000335,1,1,0,1.0,1.0,1.0,0.9634966232628595,0.9855595667870036
ex_000336,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000337,0,2,0,1.0,1.0,1.0,0.9601488274594508,0.9842931937172775
ex_000338,0,3,0,1.0,1.0,1.0,0.9858545597375536,0.994413407821229
ex_000339,0,1,0,1.0,1.0,1.0,0.9731862195503318,0.9894179894179894
ex_000340,2,3,0,1.0,1.0,1.0,0.9894842736191451,0.9958333333333333
ex_000341,1,2,0,1.0,1.0,1.0,1.0,1.0
ex_000342,0,0,0,1.0,1.0,1.0,0.9901084043896075,0.996078431372549
ex_000343,0,1,0,1.0,1.0,1.0,0.9897008886139643,0.9959183673469387
ex_000344,0,0,0,0.0,0.0,0.0,0.9927691864442729,0.9971264367816092
ex_000345,2,1,0,1.0,1.0,1.0,1.0,1.0
ex_000346,0,0,0,0.0,0.0,0.0,1.0,1.0
ex_000347,0,1,0,1.0,1.0,1.0,0.9877292991777079,0.9951456310679612
ex_000348,0,4,0,1.0,1.0,1.0,0.9856102803506148,0.9943181818181818
ex_000349,3,0,0,1.0,1.0,1.0,1.0,1.0
ex_000350,0,0,3,1.0,1.0,1.0,1.0,1.0
ex_000351,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000352,3,2,0,1.0,1.0,1.0,0.9722946112577244,0.9890710382513661
ex_000353,1,3,2,1.0,1.0,1.0,1.0,1.0
ex_000354,0,0,0,1.0,1.0,1.0,0.9910310930034364,0.99644128113879
ex_000355,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000356,1,0,0,1.0,1.0,1.0,1.0,1.0
ex_000357,0,2,0,1.0,1.0,1.0,0.9920569819614566,0.9968454258675079
ex_000358,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000359,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000360,0,1,2,1.0,1.0,1.0,1.0,1.0
ex_000361,0,2,2,1.0,1.0,1.0,1.0,1.0
ex_000362,0,1,0,1.0,1.0,1.0,0.9805052443647445,0.9922779922779923
ex_000363,0,0,3,1.0,1.0,1.0,0.9904848972552377,0.9962264150943396
ex_000364,1,0,0,0.0,0.0,0.0,1.0,1.0
ex_000365,1,0,0,0.0,0.0,0.0,1.0,1.0
ex_000366,0,3,0,1.0,1.0,1.0,0.9760552066123953,0.990506329113924
ex_000367,0,1,0,1.0,1.0,1.0,1.0,1.0
ex_000368,0,0,0,1.0,1.0,1.0,1.0,1.0
ex_000369,1,0,0,0.0,0.0,0.0,0.9889252428787272,0.9956140350877193
